pair_id,img1,img2,gt_txt,n_inliers,inlier_rmse_px,mse_matrix,mse_sar50,out_dir
118,pair118_1.jpg,pair118_2.jpg,gt_118.txt,4,0.983478,85032.106467,19207461763.419651,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_118
119,pair119_1.jpg,pair119_2.jpg,gt_119.txt,4,0.712356,127870.244093,78582298805.878235,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_119
120,pair120_1.jpg,pair120_2.jpg,gt_120.txt,4,0.984308,7918.309075,154795.949062,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_120
121,pair121_1.jpg,pair121_2.jpg,gt_121.txt,4,0.852405,23200.992442,19283855461.913929,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_121
122,pair122_1.jpg,pair122_2.jpg,gt_122.txt,3,0.000000,103508461.499657,15193738.121980,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_122
123,pair123_1.jpg,pair123_2.jpg,gt_123.txt,4,0.623369,96202.180755,300309764.980578,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_123
124,pair124_1.jpg,pair124_2.jpg,gt_124.txt,3,0.000001,4817235002.858584,14005969831.052607,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_124
125,pair125_1.jpg,pair125_2.jpg,gt_125.txt,4,0.928501,34860.534754,8416479392517.023438,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_125
126,pair126_1.jpg,pair126_2.jpg,gt_126.txt,4,0.883968,38994.150253,2928202693.813800,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_126
127,pair127_1.jpg,pair127_2.jpg,gt_127.txt,3,0.000070,1515717810.338627,260712033620828.968750,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_127
128,pair128_1.jpg,pair128_2.jpg,gt_128.txt,4,0.406041,26539.699058,2831523355.092767,/Users/leolan/Downloads/WorkSpace/wssf_improve/wssf_python/wssf_python/results/batch/pair_128
